run_id,dataset,split,regime,model,strategy,threshold,total_cost_gbp,cost_per_txn_gbp,n_test,fit_seconds,target_met,auc_pr,auc_pr_lift,roc_auc,brier,ece,base_rate,tp,fp,tn,fn,precision,recall,f1,accuracy,alert_rate,false_positive_rate,value_detection_rate,saving_vs_default_gbp,saving_vs_default_pct,saving_vs_no_model_pct
imb_smote,ieee,stratified,uk_regulatory,baseline,approve_everything,,83485.89767588675,3.7103194380643862,22501,,,,,,,,,,,,,,,,,,,,,,0.0
imb_smote,ieee,stratified,uk_regulatory,baseline,decline_everything,,766259.0,34.054442024798895,22501,,,,,,,,,,,,,,,,,,,,,,-817.8304615886268
imb_smote,ieee,stratified,uk_regulatory,xgboost,default_0.5,0.5,50184.754160776734,2.2303343922837535,22501,369.1,,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,419.0,90.0,21623.0,369.0,0.8231827111984283,0.5317258883248731,0.646106399383192,0.9796009066263721,0.02262121683480734,0.004144982268686962,0.43618433413612284,0.0,0.0,39.88834574719844
imb_smote,ieee,stratified,uk_regulatory,xgboost,cost_optimal,0.3146067415730337,47879.57939662039,2.1278867337727387,22501,369.1,,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,487.0,243.0,21470.0,301.0,0.6671232876712329,0.618020304568528,0.6416337285902504,0.975823296742367,0.032443002533220744,0.011191452125454797,0.5432968295914558,2305.1747641563416,4.593376619463474,42.64950041921935
imb_smote,ieee,stratified,uk_regulatory,xgboost,f1_optimal,0.3146067415730337,47879.57939662039,2.1278867337727387,22501,369.1,,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,487.0,243.0,21470.0,301.0,0.6671232876712329,0.618020304568528,0.6416337285902504,0.975823296742367,0.032443002533220744,0.011191452125454797,0.5432968295914558,2305.1747641563416,4.593376619463474,42.64950041921935
imb_smote,ieee,stratified,uk_regulatory,xgboost,youden_j,0.03293916724996158,91955.40266525745,4.086725152893536,22501,369.2,,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,648.0,2003.0,19710.0,140.0,0.24443606186344777,0.8223350253807107,0.37685373655132304,0.9047597884538465,0.11781698591173725,0.09224888315755538,0.7841497466780212,-41770.64850448072,-83.23374140811815,-10.14483310972046
imb_smote,ieee,stratified,uk_regulatory,xgboost,elkan_closed_form,0.2828824079639041,48003.00245703757,2.1333719593368103,22501,369.2,,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,492.0,263.0,21450.0,296.0,0.6516556291390728,0.6243654822335025,0.6377187297472456,0.9751566597040131,0.033554064263810496,0.012112559296274122,0.5514503079799881,2181.7517037391663,4.347439257646845,42.50166340260568
imb_smote,ieee,stratified,uk_regulatory,xgboost,precision_target_90,0.8226860889214164,59683.159234657884,2.652466967452908,22501,369.2,True,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,290.0,17.0,21696.0,498.0,0.9446254071661238,0.3680203045685279,0.5296803652968036,0.9771121283498512,0.013643838051642149,0.0007829410951964262,0.28459099623168815,-9498.40507388115,-18.926873774156867,28.511088823213093
imb_smote,ieee,stratified,uk_regulatory,xgboost,recall_target_90,0.015267175572519083,229456.7267692089,10.197623517586281,22501,369.2,True,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,724.0,6159.0,15554.0,64.0,0.10518669184948423,0.9187817258883249,0.18876287315864945,0.7234345140215991,0.3058975156659704,0.28365495325381107,0.8913143380484,-179271.97260843217,-357.2239729103766,-174.84489375680863
imb_smote,ieee,stratified,uk_regulatory,xgboost,example_dependent,,44966.84407700598,1.9984375839743114,22501,,,0.656514512140693,18.746488626494585,0.9342977937145424,0.017546435543659762,0.0026895832178092344,0.03502066574818897,466.0,228.0,21485.0,322.0,0.6714697406340058,0.5913705583756346,0.6288798920377868,0.9755566419270255,0.030843073641171503,0.010500621747340302,0.6091932819450443,5217.910083770752,10.397400905968674,46.13839543107199
imb_borderline_smote,ieee,stratified,uk_regulatory,baseline,approve_everything,,83485.89767588675,3.7103194380643862,22501,,,,,,,,,,,,,,,,,,,,,,0.0
imb_borderline_smote,ieee,stratified,uk_regulatory,baseline,decline_everything,,766259.0,34.054442024798895,22501,,,,,,,,,,,,,,,,,,,,,,-817.8304615886268
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,default_0.5,0.5,50654.626348391175,2.251216672520829,22501,420.8,,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,423.0,94.0,21619.0,365.0,0.8181818181818182,0.5368020304568528,0.6482758620689655,0.9796009066263721,0.022976756588596062,0.004329203702850826,0.42623397369420635,0.0,0.0,39.32552951033099
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,cost_optimal,0.2391304347826087,48534.888681307435,2.1570102964893754,22501,420.8,,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,503.0,280.0,21433.0,285.0,0.6424010217113666,0.6383248730964467,0.6403564608529599,0.9748900048886716,0.03479845340207102,0.012895500391470548,0.5442898647620953,2119.7376670837402,4.184687204095948,41.86456631306514
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,f1_optimal,0.24,46843.15614975989,2.0818255255215274,22501,420.8,,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,487.0,197.0,21516.0,301.0,0.7119883040935673,0.618020304568528,0.6616847826086957,0.9778676503266521,0.030398648948935604,0.00907290563257035,0.5313537698979148,3811.4701986312866,7.524426638579561,43.890935530672735
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,youden_j,0.03908794788273615,94362.23479425907,4.193690715713038,22501,420.9,,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,644.0,2027.0,19686.0,144.0,0.24110819917633844,0.817258883248731,0.3723619543220584,0.903515399315586,0.11870583529620905,0.09335421176253857,0.7546066860084444,-43707.608445867896,-86.28552137618537,-13.027753693919657
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,elkan_closed_form,0.2828824079639041,50593.376348391175,2.2484945712808844,22501,420.9,,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,424.0,95.0,21618.0,364.0,0.8169556840077071,0.5380710659898477,0.648814078041316,0.9796009066263721,0.023065641527043244,0.004375259061391793,0.4274677237135237,61.25,0.12091689232635183,39.39889519448256
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,precision_target_90,0.8571428571428571,57094.92986048758,2.5374396631477527,22501,420.9,True,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,318.0,16.0,21697.0,470.0,0.9520958083832335,0.4035532994923858,0.5668449197860963,0.9784009599573352,0.014843784720679081,0.0007368857366554599,0.31618289855001735,-6440.303512096405,-12.714146715447944,31.6112883134533
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,recall_target_90,0.016105417276720352,203869.9581528902,9.060484340824416,22501,420.9,True,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,717.0,5415.0,16298.0,71.0,0.11692759295499021,0.9098984771573604,0.20722543352601155,0.756188613839385,0.27252122127905426,0.2493897664993322,0.8872700520471133,-153215.33180449903,-302.47055964981024,-144.19688094432985
imb_borderline_smote,ieee,stratified,uk_regulatory,xgboost,example_dependent,,45835.98385800421,2.037064301942323,22501,,,0.6646248026017592,18.978074471246426,0.933900274017694,0.017577356872324455,0.005173839400249422,0.03502066574818897,463.0,220.0,21493.0,325.0,0.677891654465593,0.5875634517766497,0.6295037389530931,0.9757788542731434,0.03035420647971201,0.010132178879012573,0.5875770153310835,4818.642490386963,9.512739186437619,45.09733364076526
imb_class_weight,ieee,stratified,uk_regulatory,baseline,approve_everything,,83485.89767588675,3.7103194380643862,22501,,,,,,,,,,,,,,,,,,,,,,0.0
imb_class_weight,ieee,stratified,uk_regulatory,baseline,decline_everything,,766259.0,34.054442024798895,22501,,,,,,,,,,,,,,,,,,,,,,-817.8304615886268
imb_class_weight,ieee,stratified,uk_regulatory,xgboost,default_0.5,0.5,48915.921309128404,2.1739443273244925,22501,344.5,,0.6694624156096601,19.116210423392086,0.9264729707646662,0.01721836072276189,0.0029058748888852338,0.03502066574818897,440.0,101.0,21612.0,348.0,0.8133086876155268,0.5583756345177665,0.6621519939804364,0.980045331318608,0.024043375849962224,0.004651591212637591,0.45444181728120325,0.0,0.0,41.4081627306299
imb_class_weight,ieee,stratified,uk_regulatory,xgboost,cost_optimal,0.52,48915.921309128404,2.1739443273244925,22501,344.5,,0.6694624156096601,19.116210423392086,0.9264729707646662,0.01721836072276189,0.0029058748888852338,0.03502066574818897,440.0,101.0,21612.0,348.0,0.8133086876155268,0.5583756345177665,0.6621519939804364,0.980045331318608,0.024043375849962224,0.004651591212637591,0.45444181728120325,0.0,0.0,41.4081627306299
imb_class_weight,ieee,stratified,uk_regulatory,xgboost,f1_optimal,0.47031922221343964,48780.171309128404,2.16791126212739,22501,344.5,,0.6694624156096601,19.116210423392086,0.9264729707646662,0.01721836072276189,0.0029058748888852338,0.03502066574818897,441.0,101.0,21612.0,347.0,0.8136531365313653,0.5596446700507615,0.6631578947368421,0.9800897737878317,0.024087818319185814,0.004651591212637591,0.45649799953312953,135.75,0.27751700543901875,41.570765042851555
imb_class_weight,ieee,stratified,uk_regulatory,xgboost,youden_j,0.056910569105691054,90310.39446391165,4.013616926532672,22501,344.5,,0.6694624156096601,19.116210423392086,0.9264729707646662,0.01721836072276189,0.0029058748888852338,0.03502066574818897,622.0,1786.0,19927.0,166.0,0.25830564784053156,0.7893401015228426,0.38923654568210264,0.9132483000755522,0.10701746589040487,0.0822548703541657,0.6802892807672943,-41394.47315478325,-84.6237217800464,-8.174430626019397
