scenario,model,threshold,auc_pr,auc_pr_lift,precision,recall,cost_per_txn_gbp,saving_vs_default_pct
"IEEE, stratified",Logistic Regression,0.23214285714285715,0.4236080258153442,12.104531013798328,0.5145210229735587,0.3829032258064516,2.9263686353082066,4.096018932024092
"IEEE, stratified",Random Forest,0.3593073593073593,0.6725209002455516,19.217176253403693,0.716015625,0.5912903225806452,2.0540897127585995,8.084233433148631
"IEEE, stratified",XGBoost,0.3958333333333333,0.8685674799571768,24.8191756482473,0.8826937002172339,0.7864516129032258,1.206465523307708,2.4419982207218913
"IEEE, temporal",Logistic Regression,0.22088353413654618,0.17403184026639715,5.00029660805635,0.2730255448793063,0.3778786895880636,3.7903030241977453,-1.9382385195232732
"IEEE, temporal",Random Forest,0.3333333333333333,0.46785737925423565,13.442515248692652,0.6393270241850684,0.39442101848848526,2.8611759295697023,4.1808895673441
"IEEE, temporal",XGBoost,0.33093525179856115,0.5431035522216713,15.60449424565289,0.649244060475162,0.48751216347713267,2.646059717528685,1.0172093091376369
"ULB, stratified",Logistic Regression,0.71,0.7687660986407074,443.82736846119326,0.9206349206349206,0.7837837837837838,0.07715624417098328,0.0
"ULB, stratified",Random Forest,0.33,0.8083429524092891,466.67604882202227,0.8378378378378378,0.8378378378378378,0.0763347879310967,6.72150532230862
"ULB, stratified",XGBoost,0.6,0.8209918525872144,473.9785665706888,0.8939393939393939,0.7972972972972973,0.0772434591781021,0.0
