max_depth,learning_rate,subsample,colsample_bytree,auc_pr_val_cal
4,0.1,0.8,0.8,0.5708572262576852
5,0.1,0.6,1.0,0.5990597456082353
4,0.02,0.8,1.0,0.5074369630375847
6,0.1,1.0,1.0,0.6323982572626686
6,0.02,1.0,0.8,0.555676430823436
6,0.05,0.6,1.0,0.5979197824875606
8,0.08,0.8,1.0,0.6541703152060295
6,0.05,0.8,0.6,0.6031009175631588
4,0.08,1.0,0.6,0.5723001090315148
8,0.1,0.6,0.8,0.645223976304313
4,0.1,1.0,0.8,0.5748236229887025
4,0.1,0.8,1.0,0.5852660969156739
