sample_rows,auc_pr,threshold,recall,precision,cost_per_txn_gbp,wall_seconds
50000,0.507948495054472,0.35714285714285715,0.5285171102661597,0.6495327102803738,2.2971892020270404,135.1
100000,0.6277165087992731,0.49180327868852464,0.56,0.7405541561712846,2.2587773454927556,142.3
200000,0.7513425664205136,0.2748091603053435,0.719047619047619,0.7497517378351539,1.7055750506430292,853.8
"full (590,540)",0.8685674799571768,0.3958333333333333,0.7864516129032258,0.8826937002172339,1.206465523307708,2027.5
