n_estimators,max_depth,min_samples_leaf,auc_pr_val_cal
150,22,5,0.5629008202536171
200,14,8,0.5336059501117393
150,18,3,0.5548560882699158
150,18,8,0.5481524979886001
300,22,8,0.5609269782754386
400,18,3,0.5560284982797027
400,14,5,0.5360785512460098
200,10,8,0.4921046438579285
400,18,5,0.5546195153151464
400,18,5,0.5546195153151464
200,10,3,0.4954395796094722
300,22,3,0.5751138641087512
