n_estimators,max_depth,min_samples_leaf,auc_pr_val_cal
150,22,5,0.5559719520377092
200,14,8,0.5226205301894248
150,18,3,0.5566135419528423
150,18,8,0.5410249239197691
300,22,8,0.5450459247573771
400,18,3,0.5594888067133407
400,14,5,0.5313134993624116
200,10,8,0.4818398980161768
400,18,5,0.5512325173017576
400,18,5,0.5512325173017576
200,10,3,0.49091362740139405
300,22,3,0.5710018036454965
