imbalance_method,auc_pr,roc_auc,precision,recall,wall_seconds
borderline_smote,0.6646248026017592,0.933900274017694,0.8181818181818182,0.5368020304568528,116.7
smote,0.6561058817992242,0.9341718428291924,0.8212180746561886,0.5304568527918782,104.4
class_weight,0.6490899336663555,0.924356791330184,0.845679012345679,0.5215736040609137,66.4
