sample_rows,auc_pr,threshold,recall,precision,cost_per_txn_gbp,wall_seconds
50000,0.5340416119403133,0.3181818181818182,0.5171102661596958,0.6181818181818182,2.3262788138855552,30.7
100000,0.6489865384082504,0.2558139534883721,0.6304761904761905,0.6198501872659176,2.16818296175052,54.1
200000,0.7429353045241979,0.1388888888888889,0.7428571428571429,0.6621392190152802,1.7860937305175997,212.5
"full (590,540)",0.867028000735173,0.375,0.7893548387096774,0.8761188686000716,1.187424460679016,695.0
