model,regime_a,regime_b,threshold_a_mean,threshold_a_ci_lo,threshold_a_ci_hi,threshold_b_mean,threshold_b_ci_lo,threshold_b_ci_hi,diff_mean,diff_ci_lo,diff_ci_hi,significant_at_5pct
Logistic Regression,literature,uk_regulatory,0.10183031464418263,0.04149377593360996,0.11694152923538231,0.24374618601017667,0.19427402862985685,0.35000000000000003,0.14191587136599412,0.07733249939447454,0.2635435412480479,True
Random Forest,literature,uk_regulatory,0.08353614515055294,0.05918057663125948,0.125,0.24634520791981207,0.2,0.3620689655172414,0.1628090627692592,0.11760299625468167,0.27967196177192305,True
XGBoost,literature,uk_regulatory,0.1024618452654237,0.09523809523809523,0.1134020618556701,0.30645581153991536,0.11458333333333333,0.4155844155844156,0.20399396627449162,0.00689102564102563,0.3203463203463204,True
