scenario,model,threshold,auc_pr,auc_pr_lift,precision,recall,cost_per_txn_gbp,saving_vs_default_pct
"IEEE, stratified",Logistic Regression,0.31,0.43545839601311376,12.443153430849563,0.5901992460958535,0.3535483870967742,2.908571577885852,4.639560852002504
"IEEE, stratified",Random Forest,0.24778761061946902,0.6593195924932025,18.839951013623505,0.695880149812734,0.5993548387096774,2.0607871240275015,5.74930709047001
"IEEE, stratified",XGBoost,0.375,0.867028000735173,24.775185277781645,0.8761188686000716,0.7893548387096774,1.187424460679016,5.778341005803636
"IEEE, temporal",Logistic Regression,0.26394052044609667,0.17500827418431378,5.028351584664515,0.2909680908599243,0.34901070385987676,3.7378124093505005,0.14305385816370678
"IEEE, temporal",Random Forest,0.2963071197342756,0.4761002682171845,13.679350586748757,0.4275092936802974,0.44761595848199803,3.088982505364788,-6.402156091437443
"IEEE, temporal",XGBoost,0.22727272727272727,0.5386565366682714,15.476722242819381,0.5107218363032316,0.5484917288355498,2.6885864546915315,1.9486216090533244
"ULB, stratified",Logistic Regression,0.165,0.7041149325097075,406.5026776578341,0.7215189873417721,0.7702702702702703,0.08952313352544167,5.278592270817026
"ULB, stratified",Random Forest,0.375,0.804689243839726,464.56667399082124,0.8970588235294118,0.8243243243243243,0.07537812632286874,7.879314683005646
"ULB, stratified",XGBoost,0.6,0.7883549423727836,455.13648443310893,0.9076923076923077,0.7972972972972973,0.07665201918076868,4.072631249552633
